normalization,mu_meV,nu_proxy,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,geom_fraction_baseline,geom_fraction_target,geom_fraction_delta_target_vs_baseline,anisotropy_ratio_baseline,anisotropy_ratio_target,W_inter_baseline,W_inter_target
fixed_delta0,-5.0,-1.4829931972789114,0.0,1.0,47217.81156928494,44807.448091343744,-0.051047759263564196,0.5223233110065059,0.5334494312597411,0.011126120253235228,1.2069903849518364,1.0828431210675895,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-4.0,-1.3333333333333335,0.0,1.0,61077.49272846766,62852.605466982626,0.029063287623913858,0.582254035574249,0.5708294461880161,-0.01142458938623292,1.2371527335453383,1.2861612070553696,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-3.0,-1.0612244897959187,0.0,1.0,72613.95396039194,72099.33361731304,-0.007087072318904597,0.6051548866241803,0.6154263575146993,0.010271470890519052,1.1253139644055654,1.1495247443583496,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-2.0,-0.8571428571428572,0.0,1.0,78911.452653582,78044.96102036242,-0.010980556105378625,0.6452618283237936,0.6523279578140809,0.007066129490287287,1.1259147733346038,1.1573838573660147,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,-1.0,-0.6530612244897962,0.0,1.0,80537.24205271601,81284.75892212332,0.009281629844215544,0.69353507599043,0.6786662122434146,-0.014868863747015348,1.0618603247962894,1.070278634929356,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,0.0,-0.38095238095238115,0.0,1.0,84272.932417637,85214.94843041094,0.011178156327888544,0.70812973521174,0.7040659679007366,-0.004063767311003441,1.0184396468006194,1.0049628685751686,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,1.0,-0.054421768707483054,0.0,1.0,87178.96603575785,87566.19271529792,0.004441744346695309,0.7289475349175623,0.7411401414650884,0.012192606547526186,1.019806856192747,1.0529283340908653,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,2.0,0.12244897959183687,0.0,1.0,85951.42475477903,86973.60148219741,0.011892493118463854,0.7275329265712619,0.7248753134126344,-0.0026576131586274476,1.0098998639628693,0.9866283252330151,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,3.0,0.39455782312925125,0.0,1.0,82734.4858176188,82768.0357857903,0.0004055137085816618,0.6967810168325395,0.7055162978655717,0.008735281033032227,1.0160527514401594,1.0342720032239758,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,4.0,0.6666666666666665,0.0,1.0,82302.91941969184,82258.9627148014,-0.0005340843945801366,0.6651859562238807,0.6785743747600917,0.013388418536211089,1.1046472390728075,1.0959893151511553,-6.0420300659872555e-18,0.10824164708279772
fixed_delta0,5.0,0.8571428571428568,0.0,1.0,78758.51290858167,81218.58815503606,0.031235674158930582,0.6390656793935634,0.6255182754574277,-0.013547403936135738,1.0979176972714495,1.0097116690044434,-6.0420300659872555e-18,0.10824164708279772
fixed_frobenius_norm,-5.0,-1.4829931972789114,0.0,1.0,47217.81156928494,47481.12755195488,0.005576624030606769,0.5223233110065059,0.5637000745015011,0.041376763494995195,1.2069903849518364,1.0239401341035015,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,-4.0,-1.3333333333333335,0.0,1.0,61077.49272846766,66520.79882026077,0.08912130882635316,0.582254035574249,0.608271495427035,0.026017459852785918,1.2371527335453383,1.2700252945322879,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,-3.0,-1.0612244897959187,0.0,1.0,72613.95396039194,78311.73877763817,0.07846680295572583,0.6051548866241803,0.6305866148399342,0.0254317282157539,1.1253139644055654,1.1203445231064089,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,-2.0,-0.8571428571428572,0.0,1.0,78911.452653582,83149.03274276966,0.053700444570326855,0.6452618283237936,0.6826230067789715,0.037361178455177835,1.1259147733346038,1.1325135297536086,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,-1.0,-0.6530612244897962,0.0,1.0,80537.24205271601,86996.01036668767,0.08019604532452251,0.69353507599043,0.7073030839868893,0.013768007996459386,1.0618603247962894,1.0637228758863533,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,0.0,-0.38095238095238115,0.0,1.0,84272.932417637,91157.77950600482,0.08169701576596533,0.70812973521174,0.7263526349205286,0.018222899708788542,1.0184396468006194,0.9774374087336946,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,1.0,-0.054421768707483054,0.0,1.0,87178.96603575785,95144.20649938242,0.09136653972653774,0.7289475349175623,0.7630661201153335,0.03411858519777122,1.019806856192747,1.0597495976302445,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,2.0,0.12244897959183687,0.0,1.0,85951.42475477903,94105.35206160262,0.09486669162363381,0.7275329265712619,0.7430337267917833,0.01550080022052136,1.0098998639628693,0.9742017413403786,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,3.0,0.39455782312925125,0.0,1.0,82734.4858176188,88135.67924733608,0.06528345920495315,0.6967810168325395,0.7212597226176058,0.02447870578506639,1.0160527514401594,1.0215599273047553,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,4.0,0.6666666666666665,0.0,1.0,82302.91941969184,87753.93843800802,0.06623117450450922,0.6651859562238807,0.7028674521503387,0.037681495926458086,1.1046472390728075,1.1316190961999426,-6.0420300659872555e-18,0.1082416470827977
fixed_frobenius_norm,5.0,0.8571428571428568,0.0,1.0,78758.51290858167,88099.35156824373,0.11860100343063062,0.6390656793935634,0.6389565615724337,-0.00010911782112965618,1.0979176972714495,0.9877855131893423,-6.0420300659872555e-18,0.1082416470827977
